,summary,correct,rouge1,rouge2,rougeL,rougeLsum
20,"Engmarihånd er en flerårig urt i marihåndfamilien.
Den finnes på grasmyr og strandenger, som regel på noe kalkholdig grunn.
Plantene har en ganske stor leppe som er lenger enn den blir breiest innerst ved stengelen og smalner utover mot spissen.
De fem andre blomsterbladene er arrangert som en hjelm over reproduksjonsstrukturene og åpninga til sporen.","Engmarihånd er en plante som er en av de vanligere og mest utbredte av orkidéene i marihåndslekta.
Blomstringstid for engmarihånd er forsommer til midtsommer.
Engmarihånd består av to underarter: grasmarihånd, som er ganske utbredt i Norge, og dynemarihånd, som er begrensa til noen få steder ved strender i Agder og Rogaland.",32.4786,8.6957,20.5128,30.7692
21,"Ansvarlig selskap er en selskapsform som har til formål å drive næringsvirksomhet, for eksempel innen handel og håndverk.
Selskapsformen er regulert i lov av 21. juni 1985 om ansvarlige selskaper og kommandittselskaper (selskapsloven).","Ansvarlig selskap, forkortet ANS, er et selskap hvor selskapsdeltakerne hefter for selskapets forpliktelser med hele sin formue, både med det de eier i selskapet og det de eier privat.
Deltakernes ansvar vil vanligvis være ubegrenset og solidarisk, det vil si at en selskapskreditor kan gjøre en deltaker ansvarlig for hele selskapsgjelden, også den del av gjelden som etter forholdet mellom deltakerne skal bæres av en annen selskapsdeltaker.
Det kan avtales at deltagernes ansvar ikke skal være solidarisk, men at den enkelte deltakers ansvar skal være begrenset til en del av selskapsgjelden.
Deltakernes samlede forpliktelser må i så tilfelle utgjøre selskapets samlede forpliktelser.
Slike selskaper betegnes DA.",17.5676,1.3699,10.8108,14.8649
22,"Datapak er et datanett som ble utviklet ved Universitetet i Oslo (UiO) i 1979.
Nettet ble lansert i 1984, og ble senere integrert i ISDN.","Datapak var en datakommunikasjonstjeneste som ble drevet av Televerket.
Tjenesten benyttet et eget pakkesvitsjet nett med enten fast forbindelse (X.25) eller oppringt forbindelse (X.28).",15.6863,4.0816,11.7647,15.6863
23,"Botanybukta er en bukt i Australia, i delstaten New South Wales.
Bukta ligger i den sørlige delen av landet, mellom Sydney og Brisbane.","Botany Bay er en bukt på sørøstkysten av Australia, i Sydneys storbyområde i delstaten New South Wales.
Elvene Georges og Cooks renner ut i bukta.",61.5385,28.0,38.4615,53.8462
24,Baldwin Railway Company var et amerikansk lokomotivfabrikk som ble grunnlagt i 1872 av John Baldwin.,"Matthias William Baldwin, amerikansk industrimann.
Baldwin startet lokomotivproduksjon i 1832, og hans Baldwin Locomotive Works i Philadelphia var verdens største lokomotivfabrikk med 55 000 ansatte.
Han videreutviklet damplokomotivet, bl.a.
ved å gjøre det mulig å benytte et høyere damptrykk.",25.0,0.0,14.2857,17.8571
25,"Aitolia var et gresk distrikt i Mellom-Hellas, i det nåværende Hellas.
Det lå i den sørlige delen av Peloponnes.","Aitolia var et fjell-landskap i det gamle Mellom-Hellas nord for den ytre delen av Korintbukta.
Etter sagnet er landskapet oppkalt etter Aitolos.",42.5532,22.2222,38.2979,38.2979
26,"Buholmråsa fyr er en fyrstasjon i Bømlo kommune, Vestland fylke.
Den ble opprettet i 1944 som familiefyr og lyser opp søndre del av havstykket Folda.","Buholmråsa fyr er en fyrstasjon på Sønnaholmen utenfor Svesfjorden i Osen kommune i Trøndelag fylke.
Den ble opprettet som ledfyr i 1917, automatisert i 1989 og avbemannet i 1994.",53.3333,27.5862,46.6667,53.3333
27,Det kongelige forsynings- og gjenreisningsdepartementet var en sentraladministrasjon i sentraladministrasjonen i Norge fra 1945 til 1950.,"Direktoratet for fiendtlig eiendom ble opprettet ved provisorisk anordning i 1945, nedlagt i 1953.
Det hadde vidtgående myndighet til å styre det gods som etter loven var å anse som fiendtlig eiendom.",25.5319,0.0,12.766,17.0213
28,"Comayagua er en by i Honduras, hovedstad i delstaten Honduras.
Byen ligger på grensen mellom Honduras og El Salvador.","Comayagua er en by i sentrale Honduras ved elven Humuya, 80 kilometer nordvest for hovedstaden Tegucigalpa.
Byen har 108 850 innbyggere (INEH, 2019), og utgjør hovedstaden i provinsen med samme navn.
Comayagua er et handelssenter med produksjon av sko, sement og keramikk.
Som landets tidligere hovedstad har byen mange bygninger fra den spanske kolonitiden.",27.027,11.1111,21.6216,27.027
29,Cavendish er en engelsk adelsslekt som stammer fra den engelske hertugfamilien av Devonshire.,"Cavendish er en engelsk adelsslekt, som stammer fra dommeren sir John Cavendish (død 1381) og dennes etterkommer sir William Cavendish (ca.
1505–1557).
Slekten Cavendish er en av Englands største godseierslekter.
Slektens overhode innehar fra 1694 tittelen duke of Devonshire.
Grener av slekten fører titlene baron Waterpark (fra 1792) og baron Chesham (fra 1858).",28.5714,20.5882,28.5714,28.5714
30,"Colorado er en urfolkgruppe i det sørøstlige Ecuador.
De snakker i hovedsak quechua.",Colorado er en folkegruppe i det nordvestlige Ecuador som språklig er tilknyttet barbacoa-familien innenfor makro-chibcha phylum.,35.2941,18.75,35.2941,35.2941
31,"Anne Bradstreet var en amerikansk lyriker.
Hun regnes som en av de første amerikanske poetene i kolonitiden.","Anne Bradstreet var en amerikansk lyriker, som var født og gift i England, men kom til kolonien Massachusetts i 1630.",46.1538,27.027,46.1538,35.8974
32,"Bileam er en person i Det gamle testamentet og Tanakh som ifølge jødisk tradisjon var sønn av Beor.
Ifølge denne tradisjonen var Bileam Beors sønn.","Bileam er en bibelsk skikkelse.
Ifølge fjerde Mosebok (kapittel 22–24) var Bileam en ikke-israelittisk seer som ble tilkalt av moabitterkongen Balak for å forbanne Israels stammer, men som istedet velsignet dem.",28.5714,13.1148,22.2222,25.3968
33,"Blokkevier er en flerårig urt i vierfamilien.
Plantene er opptil femti centimeter høye med tynne greiner som er gulaktige til rødbrune som unge, men mørkere brungrå som eldre.
Blomstene har to til fem små blad på stengelen.
Hannaksene er om lag to centimeter lange, hunnaksene noe lengre.","Blokkevier er en liten buskforma art i vierfamilien som finnes spredt fra Bardu og østover i Nord-Norge og kun noen få steder i Sør-Norge.
Buskene er mindre enn en halv meter høye og er tett forgreina med avlange, grønne blader som er bleike på undersida.",29.703,10.101,23.7624,27.7228
34,"Édouard Dadié var en franskspråklig forfatter fra det afrikanske kontinentet.
Han var opprører og kristen humanist.","Bernard Binlin Dadié var en forfatter og politiker fra Elfenbenskysten.
Som politiker var han blant annet kulturminister i Elfenbenskysten en rekke år.
Som ung ble han av og til regnet som representant for négritude–bevegelsen, men han hører ikke til de mest typiske representantene for bevegelsen.",27.2727,6.25,21.2121,24.2424
35,"Balsamico er en italiensk hvitvin som er laget av druesaft og gjæret druemost.
Balsamico brukes blant annet i dressinger og marinader.","Balsamico er en eddik med mørk farge og intens, søtlig smak som er en vanlig ingrediens i det italienske kjøkkenet.
Den fremstilles av innkokt druesaft, som deretter gjæres og modnes på trefat i minst tolv år.",38.7097,10.0,29.0323,32.2581
36,"Arne Egge var en norsk komponist og organist.
Han var en sentral skikkelse i norsk musikkliv i etterkrigstiden.","Klaus Egge, norsk komponist, organisasjonsmann og kritiker som var en sentral skikkelse i norsk musikkliv i etterkrigstiden.",74.2857,54.5455,74.2857,74.2857
37,Biorytme er en betegnelse som brukes om sykluser i menneskets livssyklus.,"Biorytme er en regelmessig svingning i levende organismer, for eksempel menstruasjonssyklusen eller søvnrytmen (se døgnrytme, jetlag).",27.5862,14.8148,27.5862,27.5862
38,"Brigg er en type seilskip som ble brukt på kysten i middelalderen.
Den ble bygd med skværseil på forrmasta og sneiseil på stormasta.","Brigg er et tomastet, mellomstort seilskip med rær på begge master.
Stormasten har også gaffelseil, såkalt briggseil.
Briggen hadde sin glansperiode på 1800-tallet, og ble bygget fra Middelhavet i sør til Nordsjøen og Østersjøen i nord.
De største ble opp mot 1000 tonn.",29.7297,2.7778,16.2162,24.3243
39,Eilert Sundts lov er en lov som forutsetter stabilitet i alle kjennetegn i et fødselskull unntatt den absolutte størrelsen.,"Eilert Sundts lov er en betegnelse på det fenomenet at antall giftermål (nye ekteskap) i et bestemt tidsrom vil variere i takt med antall fødsler på et tidligere tidspunkt, slik at det oppstår bølgebevegelser i befolkningsutviklingen.",29.5082,16.9492,26.2295,26.2295
40,"Ars combinatoria er en teknikk for å regne ut riktige svar innenfor matematikk, naturvitenskap og etikk.",Ars combinatoria er kunst eller teknikk som gjør det mulig å danne og kombinere komplekse begreper ved å ta utgangspunkt i de enkle (primitive) begreper.,25.641,10.8108,25.641,25.641
41,"Drageskip var skip med hoder av dyr eller mennesker, gjerne i form av dragehoder.
De ble brukt i vikingtiden, særlig i Nord-Europa og Nord-Amerika.","Drage var et større hærskip i vikingtiden fra Harald Hårfagres tid og utover, gjerne med et dragehode i stevnen.",32.6531,4.2553,16.3265,20.4082
42,Diorama er en billedfremstilling som fremstiller en tredimensjonal gjengivelse av et maleri eller en skulptur.,"Diorama er et illusjonistisk tredimensjonalt helhetsbilde oppnådd ved hjelp av dekorasjoner og gjenstander.
Det brukes særlig i pedagogisk øyemed ved museer.",21.0526,5.5556,15.7895,15.7895
43,"Åkersteinfrø er en flerårig urt i rubladfamilien.
Den regnes som kritisk trua i Rødlista 2021.","Åkersteinfrø er en plante i rubladfamilien.
Den er en ettårig urt som blir opptil 40 centimeter høy.
Plantene har strie hår og små, hvite blomster.
Dette er et gammelt ugras knytta til gammelt åkerbruk som har gått sterkt tilbake og nå er vurdert som kritisk trua.",35.8209,21.5385,26.8657,35.8209
44,Adopsjon er å gi et barn en eller to foreldre og sikre et godt og varig hjem for barnet.,"Adopsjon er det å ta til seg en person som sitt eget barn.
Når en person blir adoptert får personen nye foreldre.
For en generasjon siden kom de fleste adoptivbarn fra utlandet, i dag har vi først og fremst innenlandsadopsjoner.
I de fleste tilfellene er det en sosial familierelasjon mellom barn og foreldre fra før som følge av at barna allerede har en posisjon som stebarn eller fosterbarn.",20.0,2.2727,15.5556,15.5556
45,"Bjørnsjøen er et vann i Nordmarka i Oslo kommune, Viken fylke.
Vannet ligger i sørøstlige del av Nordmarka.","Bjørnsjøen er et vann i Oslo som er en del av Nordmarksvassdraget.
Det er det største vannet i Nordmarka, beliggende 337 meter over havet og et areal på 1,632 kvadratkilometer.
Det erregulert cirka 7 meter.",42.623,30.5085,36.0656,42.623
46,Enrico Bethe var en tysk fysiker som fikk Nobelprisen i fysikk i 1938 for sin teori om karbon-nitrogensyklusen som viktig ledd ved fusjonsprosessene og energiproduksjonen i stjernene.,"Hans Bethe var en tysk-amerikansk fysiker.
Han fikk nobelprisen i fysikk i 1967 for sitt arbeid med teorien for nukleosyntese i stjerner – hvordan tunge grunnstoffer dannes ved fusjon i stjerner.
Under andre verdenskrig spilte Bethe en aktiv rolle i utviklingen av atombomben.",36.6197,20.2899,36.6197,36.6197
47,Arbeidstegning er en teknisk tegning som utføres av en ingeniør for å utføre en konstruksjonsoppgave.,"En arbeidstegning er en tegning av ett eller flere arbeidsstykker som hører sammen, og som er påført alle mål som brukes som grunnlag for konstruksjonen på byggeplasser og verksteder.
I motsetning til arbeidstegninger omfatter sammenstillingstegninger og arrangementstegninger bare hovedmål.",26.2295,6.7797,19.6721,19.6721
48,Dronninggambit er en åpning i sjakk som består av to trekk hvor svarts d-bonde slår på c4.,"Dronninggambit er et åpningssystem i sjakk der både hvit og svart starter med å flytte bonden som står foran dronninga.
Hvit angriper straks svarts sentrum og utvikler brikkene raskt.
I trekk 2 tilbyr hvit å ofre en bonde, og det kalles en gambit.",31.746,6.5574,25.3968,25.3968
49,"Jean-Jacques Delors var en fransk politiker.
Han var Frankrikes president i Europakommisjonen i perioden 2004–2009.","Jacques Delors, fransk økonom og politiker for sosialistpartiet, som var president i Europakommisjonen fra 1985 til 1994.",47.0588,18.75,47.0588,47.0588
50,"Ancona er en by i det sørlige Italia, i regionen Marche, ved elven Ancona.
Byen ligger ved foten av fjellet Ancona, ved Adriaterhavet.","Ancona er en by i Italia, hovedstad i regionen Marche, ved Adriaterhavet.
Byen har 100 211 innbyggere (2020).",57.1429,40.0,52.381,57.1429
51,"Birmingham er en by i Storbritannia, England, i grevskapet West Midlands, ved elven Birmingham.
Byen ligger på østbredden av Themsen, og har omtrent 88 000 innbyggere (2021).","Birmingham er en by i Storbritannia, England, Warwickshire, 110 kilometer nordvest for London.
Den er Englands nest største by og senter i et av landets viktigste industriområder, har 1 073 045 innbyggere i 2011 og et areal på 268 kvadratkilometer.
Byen ligger på et platå, Birminghamplatået, som er fra 150 til 300 meter over havet.
Sørvest for byen ligger åsene Lickey Hills, Clent Hills og Walton Hill der det høyeste punktet er 315 meter over havet, med god utsikt over byen.",26.5487,14.4144,21.2389,24.7788
52,"Birgittinerordenen er en orden av benediktinermunker og nonner som ble stiftet i Nederland i 1226.
Ordenen ble grunnlagt av den hellige Birgitta.","Birgittinerordenen er en klosterorden som ble stiftet av den svenske helgenen Birgitta (1303–1373).
Hovedklosteret var Vadstena.",46.1538,27.027,46.1538,46.1538
53,Den kalde krigen var en konflikt mellom USA og Sovjetunionen om nedrustning av atomvåpen i Europa.,"Dobbeltvedtaket er et NATO-vedtak fra 1979 om utplassering av opptil 572 mellomdistanseraketter i Europa.
Vedtaket var et svar på Sovjetunionens utplassering av SS 20-raketter og var ment som en modernisering av NATOs kjernefysiske mellomdistansevåpen.
Selve utplasseringen ble utsatt, fordi NATO-landene ville bruke vedtaket som forhandlingskort overfor Sovjetunionen med tanke på å redusere det totale antall atomvåpen i Europa.",25.3165,7.7922,17.7215,20.2532
54,"Bånddannelse er en forandring av vekstpunktet (meristemet) i en plante.
Bånddannede planter har vanligvis båndformet stengel, men det finnes også båndformede stengler hos noen planter, for eksempel hos hanekam, som er populær som prydplante.","Bånddannelse er en utvikling som fører til at planteorganer som normalt er sylindriske, blir mer eller mindre flattrykte.",23.7288,10.5263,20.339,16.9492
55,Dioderekkedektor er en type detektor som brukes til å registrere lysabsorpsjonen til forskjellige bølgelengder.,"Dioderekkedetektor er en lysmåler som brukes i kjemisk analyse.
Den kan måle alle bølgelengder av UV- og synlig lys på én gang.
Det er en rask detektor og brukes derfor mye til HPLC.",32.0,12.5,24.0,32.0
56,Delativ er i grammatikken ein kasus som går til overflata av substantivet szék'stol'.,"Delativ er i grammatikken ein kasus som tyder 'frå overflata av'.
Det kan brukast i setningar der vi på norsk ville seie «Han tok vekk matta vekk frå golvet» eller «Fuglen flaug bort frå taket».",35.2941,28.5714,35.2941,35.2941
57,"Nils Chorell var en finsk forfatter.
Han var utdannet ved universitetet i Helsingfors.","Walentin Chorell var en finlandssvensk forfatter.
Han begynte som lyriker, men skrev senere romaner og skuespill.",34.4828,22.2222,34.4828,34.4828
58,"Friedrich Diesterweg var en tysk pedagog.
Han var professor i pedagogikk ved universitetet i Berlin fra 1832 til 1848.","Adolph Diesterweg var en tysk pedagog.
Han arbeidet for folkeopplysning, bedre lærerutdannelse og en pedagogikk etter Johann Heinrich Pestalozzis ideer.
Han var rektor ved lærerseminaret i Berlin fra 1831.",48.0,33.3333,44.0,48.0
59,"Jean-Baptiste Chamfort var en fransk forfatter.
Han var elev av Voltaire og Rousseau.","Nicolas Sébastien Roch de Chamfort, fransk forfatter.
Han var tilhenger av den franske revolusjon, men motstander av terroren i 1790-årene.
Han tok sitt eget liv.",29.2683,15.3846,29.2683,29.2683
60,"Personlighetspsykologi er læren om hvordan mennesker tenker, føler og handler, og hvordan disse forskjellene kan forutsi fremtidig atferd.","Personlighetstester er en måte å måle personlighet på, altså en metode for å oppdage og beskrive stabile individuelle forskjeller mellom mennesker i tanker, følelser og atferd.
Vitenskapelig personlighetspsykologi skal både beskrive hva personligheten består av, måle denne tilfredsstillende, og kunne predikere fremtidig atferd på bakgrunn av målingene.",22.2222,2.8571,19.4444,22.2222
61,"Blue Note Records er et britisk plateselskap som ble grunnlagt i New York i 1940.
Selskapet ble kjøpt opp av EMI i 1979, og eies i dag av Universal Music Group.","Blue Note Records, sentralt platemerke innen jazzen, etablert i USA i 1939 av to tyske immigranter, Alfred Lion og Francis Wolff.
Selskapet hadde sin gullalder i 1950- og 60-årene.",29.0323,6.6667,25.8065,29.0323
62,"Ion Gavrilă Brătianu var en rumensk politiker.
Han var Romanias statsminister i periodene 1876–1888 og 1881–1888.","Ion C. Brătianu var en rumensk politiker.
Han var Romanias statsminister i periodene 1876–1881 og 1881–1888.",89.4737,77.7778,89.4737,89.4737
63,"E-post er en elektronisk melding som sendes fra en datamaskin til en mottaker.
E-posten sendes vanligvis i form av e-postmeldinger.","E-post er dokumenter og meldinger som blir sendt over et datanettverk, fra en datamaskin til en annen.
Mottaker og avsender leser og skriver sin post i en e-postleser, f.eks.
Microsofts Outlook eller Apples Mail, der brukeren kan oppbevare, sortere og søke i sine meldinger.
Mange har også e-post via en nettside, som for eksempel Google sin gmail.com eller outlook.com—nettsideversjonen av Microsoft sin e-postklient.",31.5789,12.9032,29.4737,29.4737
64,"Antigua og Barbuda er en øy i Karibia.
Øya har et areal på cirka 88 kvadratkilometer og har et innbyggertall på i overkant av 1,1 millioner (2018).
Hovedstaden er Saint John's.","Folketallet i Antigua og Barbuda ble i 2021 beregnet til 99 175.
Forventet levealder er 79,9 år for kvinner og 75,4 år for menn.
Innbyggerne er hovedsakelig av afrikansk opprinnelse og er etterkommere av slaver som ble brakt til Antigua for å arbeide på sukkerplantasjer.",25.3165,5.1948,17.7215,20.2532
65,"Anna Colbjørnsdatter Ramus var en norsk offiser.
Hun var datter av Colbjørn Ramus, som var sogneprest i Norderhov i Bærum.","Anna Colbjørnsdatter var halvsøster av Hans og Peder Colbjørnsen og gift med sogneprest til Norderhov, Jonas Ramus.",41.8605,9.7561,37.2093,37.2093
66,"Åbjøra er ei elv i Bindal kommune i Nordland.
Den er en av Norges lengste elver, og har sitt utspring i fjellområdet mellom Tosenfjorden og Namdalen.","Åbjøra er en elv i Bindal kommune i Nordland fylke.
Nedre del kalles Åelva, og den samlede lengden er 59 kilometer.",52.0,33.3333,44.0,48.0
67,"George Alexander var en britisk offiser.
Han var øverstbefalende for de britiske styrkene i Midtøsten i 1940–1943 og sjef for den italienske fronten i 1943–1944.","Harold Alexander var en britisk feltmarskalk og politiker, kjent for sin innsats under andre verdenskrig.",27.907,14.6341,27.907,27.907
68,"Giovanni Bandello var en italiensk forfatter og biskop.
Han regnes som en av renessansens mest betydningsfulle forfattere.",Matteo Bandello var en italiensk forfatter og den betydeligste italienske novelleforfatteren på 1500-tallet.,38.7097,34.4828,38.7097,38.7097
69,"Abelia er en norsk arbeidsgiverforening som ble stiftet i 2001.
Abelia ble etablert i 2001 og er en av Norges største arbeidsgiverforeninger.","Abelia er en norsk arbeidsgiverorganisasjon og bransjeorganisasjon som organiserer kunnskaps- og teknologibedrifter.
Organisasjonen er tilsluttet Næringslivets Hovedorganisasjon (NHO) som en landsforening og har hovedkontor i Oslo.",36.0,12.5,32.0,32.0
70,"Dnestr er en elv i Ukraina, Moldova og Moldova.
Den er en av Europas lengste elver.","Dnestr er en elv i Øst-Europa.
Den er 1352 kilometer lang, med et nedbørfelt på 72 100 kvadratkilometer.",44.4444,29.4118,38.8889,44.4444
71,"Albert Coates var en britisk dirigent og en av de betydeligste dirigentene i sin generasjon.
Han regnes som en av verdens ledende dirigenter.","Albert Coates var en engelsk dirigent og komponist.
Han huskes særlig som en ledende dirigent innenfor romantikkens russiske og engelske repertoar.
Hans fremførelser var kjennetegnet av stor kraft og energi.",40.0,18.8679,36.3636,40.0
72,"Chuck Berry var en amerikansk sanger, gitarist og låtskriver.
Han var en av rockens mest populære artister.","Chuck Berry var en amerikansk sanger og musiker, og en av rockens største innovatører, stilskapere, gitarister og låtskrivere.
Han har inspirert tusener av rockemusikere med sin blanding av blues, country, rockabilly og vittige tekster som appellerte til både hvit og svart ungdom.
Berry ble også kjent for sitt sceneshow, der han framførte sin særegne «duckwalk» mens han spilte gitar.",33.3333,26.8293,28.5714,33.3333
73,"Berlinkonferansen var en internasjonal konferanse i Berlin i 1870.
Konferansen ble holdt i perioden 1871–1874.","Berlinkonferansen var en internasjonal konferanse i Berlin i 1884–1885 som delte opp Afrika mellom kolonimaktene.
Konferansen regnes som høydepunktet i det imperialistiske kappløpet om Afrika.",45.4545,33.3333,45.4545,45.4545
